device_id,visit_id,platform,video_seconds_spent
3292429020465454204:6917530152922517492,3292429020465454204:6917530152922517492:00000004,OTT,101
3292443122990569800:4611687214575781587,3292443122990569800:4611687214575781587:00000002,OTT,101
3292427167186767914:6917548384521816950,3292427167186767914:6917548384521816950:00000003,OTT,101
3292266516082826431:6917530152922517949,3292266516082826431:6917530152922517949:00000004,OTT,101
4385858966210668275:8252391648638249912,4385858966210668275:8252391648638249912:00000004,OTT,101
3278697234778549998:6917530209830956515,3278697234778549998:6917530209830956515:00000013,OTT,101
3292451489586861743:4611687151761883956,3292451489586861743:4611687151761883956:00000005,OTT,101
3292450394369893034:4611705275987021190,3292450394369893034:4611705275987021190:00000003,OTT,101
3292368085616928600:6917530153459386494,3292368085616928600:6917530153459386494:00000003,OTT,101
3121421319867015091:4611687426102926685,3121421319867015091:4611687426102926685:00000002,OTT,101
3292457893383079261:6917530211441455371,3292457893383079261:6917530211441455371:00000002,OTT,101
3279979441430178303:4611687191490389187,3279979441430178303:4611687191490389187:00000008,OTT,101
3292404833357117738:4611687214038910710,3292404833357117738:4611687214038910710:00000002,OTT,101
3292422721895891813:6917530204462133838,3292422721895891813:6917530204462133838:00000003,OTT,101
3292268964213896994:6917548285200707410,3292268964213896994:6917548285200707410:00000003,OTT,101
3292449176746961205:6917530204462136188,3292449176746961205:6917530204462136188:00000002,OTT,101
3292377498037765693:6917530153459386184,3292377498037765693:6917530153459386184:00000003,OTT,101
3292403609291445164:6917530222178862002,3292403609291445164:6917530222178862002:00000004,OTT,101
3292413206395862894:6917530148627557535,3292413206395862894:6917530148627557535:00000002,OTT,101
3278826921317450486:6917556569123710375,3278826921317450486:6917556569123710375:00000018,OTT,101
3292380564644110211:4611705376381904732,3292380564644110211:4611705376381904732:00000002,OTT,101
3278493853044690622:4611687189342909243,3278493853044690622:4611687189342909243:00000005,OTT,101
3292369749916458313:6917548398480494137,3292369749916458313:6917548398480494137:00000004,OTT,101
3292402043775559302:6917548277684511523,3292402043775559302:6917548277684511523:00000002,OTT,101
3292455288485426782:6917530211441448673,3292455288485426782:6917530211441448673:00000002,OTT,101
3292377283289099486:4611705375308128594,3292377283289099486:4611705375308128594:00000002,OTT,101
3292068112216066260:4611687195248435580,3292068112216066260:4611687195248435580:00000006,OTT,101
3292400791792899049:6917530192114095298,3292400791792899049:6917530192114095298:00000003,OTT,101
3292370711989426570:6917530223252602906,3292370711989426570:6917530223252602906:00000007,OTT,101
3292414726814277048:4611687161425574358,3292414726814277048:4611687161425574358:00000006,OTT,101
3292290110485673598:4611687162499303099,3292290110485673598:4611687162499303099:00000006,OTT,101
3278495530230815440:4611687442746113251,3278495530230815440:4611687442746113251:00000016,OTT,101
7034272456372131089:8609455346637380559,7034272456372131089:8609455346637380559:00000005,OTT,101
3292435757121638875:4611687144245691107,3292435757121638875:4611687144245691107:00000005,OTT,101
3278880722223883139:6917530209830883035,3278880722223883139:6917530209830883035:00000010,OTT,101
3276285651444019028:4611687139950732812,3276285651444019028:4611687139950732812:00000003,OTT,101
3292452992825421277:4611687218870838328,3292452992825421277:4611687218870838328:00000003,OTT,101
3292453591973340774:6917530153459389988,3292453591973340774:6917530153459389988:00000002,OTT,101
3177556969775404943:6917530180839903093,3177556969775404943:6917530180839903093:00000001,OTT,101
3278554343365503477:4611713562052801693,3278554343365503477:4611713562052801693:00000005,OTT,101
3292454880463234428:6917548373247525544,3292454880463234428:6917548373247525544:00000002,OTT,101
3270935999093899752:4611687139950883497,3270935999093899752:4611687139950883497:00000002,OTT,101
3292384702845400676:6917530211441444190,3292384702845400676:6917530211441444190:00000002,OTT,101
3292428444939832410:4611687149077608769,3292428444939832410:4611687149077608769:00000002,OTT,101
3292431646837932694:6917530160975577502,3292431646837932694:6917530160975577502:00000003,OTT,101
3255400299225106419:6917548354462795922,3255400299225106419:6917548354462795922:00000062,OTT,101
3280163283211716053:4611687188807124406,3280163283211716053:4611687188807124406:00000004,OTT,101
3292419326724249862:6917530204462138929,3292419326724249862:6917530204462138929:00000004,OTT,101
3292420701113794248:4611687213502042224,3292420701113794248:4611687213502042224:00000003,OTT,101
3165689930039395293:6917530171715016444,3165689930039395293:6917530171715016444:00000003,OTT,101
3292439160883220862:6917530229158201971,3292439160883220862:6917530229158201971:00000004,OTT,101
3292246372685908951:4611705310883620535,3292246372685908951:4611705310883620535:00000005,OTT,102
3278663912276170645:6917556571266429378,3278663912276170645:6917556571266429378:00000010,OTT,102
